,Airport,Country,IATA CODE
0,A,,
1,Aarhus,Denmark,AAR
2,Abadan,Iran,ABD
3,Abeche,Chad,AEH
4,Aberdeen,United Kingdom,ABZ
5,Aberdeen (SD),USA,ABR
6,Abidjan,Cote d'Ivoire,ABJ
7,Abilene (TX),USA,ABI
8,Abu Dhabi- Abu Dhabi International,United Arab Emirates,AUH
9,Abuja- Nnamdi Azikiwe International Airport,Nigeria,ABV
10,Abu Rudeis,Egypt,AUE
11,Abu Simbel,Egypt,ABS
12,Acapulco,Mexico,ACA
13,Accra- Kotoka International Airport,Ghana,ACC
14,Adana,Turkey,ADA
15,Addis Ababa- Bole International Airport,Ethiopia,ADD
16,Adelaide,Australia,ADL
17,Aden- Aden International Airport,Yemen,ADE
18,Adiyaman,Turkey,ADF
19,Adler/Sochi,Russia,AER
20,Agades,Niger,AJY
21,Agadir,Morocco,AGA
22,Agana(Hagåtña),Guam,SUM
23,Aggeneys,South Africa,AGZ
24,Aguadilla,Puerto Rico,BQN
25,Aguascaliente,Mexico,AGU
26,Ahmedabad,India,AMD
27,Aiyura,Papua New Guinea,AYU
28,Ajaccio,France,AJA
29,Akita,Japan,AXT
30,Akron (OH),USA,CAK
31,Akrotiri - RAF,Cyprus,AKT
32,Al Ain,United Arab Emirates,AAN
33,Al Arish,Egypt,AAC
34,Albany,Australia,ALH
35,Albany (GA),USA,ABY
36,Albany(NY) - Albany International Airport,USA,ALB
37,Albi,France,LBI
38,Alborg,Denmark,AAL
39,Albuquerque (NM),USA,ABQ
40,Albury,Australia,ABX
41,Alderney,Channel Islands,ACI
42,Aleppo,Syria,ALP
43,Alesund,Norway,AES
44,Alexander Bay - Kortdoorn,South Africa,ALJ
45,Alexandria- Borg el Arab Airport,Egypt,HBH
46,Alexandria- El Nhouza Airport,Egypt,ALY
47,Alexandria - Esler Field,USA(LA),ESF
48,Alfujairah (Fujairah),United Arab Emirates,FJR
49,Alghero Sassari,Italy,AHO
50,"Algiers, Houari Boumediene Airport",Algeria,ALG
51,Al Hoceima,Morocco,AHU
52,Alicante,Spain,ALC
53,Alice Springs,Australia,ASP
54,Alldays,South Africa,ADY
55,Allentown (PA),USA,ABE
56,Almaty(Alma Ata) - Almaty International Airport,Kazakhstan,ALA
57,Almeria,Spain,LEI
58,Alta,Norway,ALF
59,Altay,PR China,AAT
60,Altenrhein,Switzerland,ACH
61,Altoona (PA),USA,AOO
62,Altus,USA,AXS
63,Amami,Japan,ASJ
64,Amarillo (TX),USA,AMA
65,Amazon Bay,Papua New Guinea,AZB
66,Amman- Queen Alia International Airport,Jordan,AMM
67,Amman- Amman-Marka International Airport,Jordan,ADJ
68,Amritsar,India,ATQ
69,Amsterdam- Amsterdam Airport Schiphol,Netherlands,AMS
70,Anand,India,QNB
71,Anchorage(AK) - Ted Stevens Anchorage International,USA,ANC
72,Ancona - Ancona Falconara Airport,Italy,AOI
73,Andorra La Vella- Heliport,Andorra,ALV
74,Anguilla,Anguilla,AXA
75,Anjouan- Anjouan Airport,Comoros(Comores),AJN
76,Ankara,Turkey,ANK
77,Ankara- Esenboğa International Airport,Turkey,ESB
78,Annaba,Algeria,AAE
79,Ann Arbor (MI),USA,ARB
80,Annecy,France,NCY
81,Anniston (AL),USA,ANB
82,Antalya,Turkey,AYT
83,Antananarivo(Tanannarive) - Ivato International Airport,Madagascar,TNR
84,"Antigua, V.C. Bird International",Antigua and Barbuda,ANU
85,Antwerp,Belgium,ANR
86,Aomori,Japan,AOJ
87,Apia- Faleolo International Airport,Samoa,APW
88,Appelton/Neenah/Menasha (WI),USA,ATW
89,Aqaba,Jordan,AQJ
90,Aracaju,Brazil,AJU
91,Arkhangelsk,Russia,ARH
92,Arusha,Tanzania,ARK
93,Araxos,Greece,GPA
94,Arlit,Niger,RLT
95,Arrecife/Lanzarote,Spain,ACE
96,"Aruba- Reina Beatrix International, Oranjestad",Aruba,AUA
97,Asheville (NC),USA,AVL
98,Ashgabat- Saparmurat Turkmenbashy Int. Airport,Turkmenistan,ASB
99,Asmara- Asmara International,Eritrea,ASM
100,"Aspen, (CO) - Aspen-Pitkin County Airport",USA,ASE
101,Assiut,Egypt,ATZ
102,Astana- Astana International Airport,Kazakhstan,TSE
103,Asuncion- Asunción International Airport,Paraguay,ASU
104,Aswan - Daraw Airport,Egypt,ASW
105,Athens- Elefthérios Venizélos International Airport,Greece,ATH
106,"Athens, Hellinikon Airport",Greece,HEW
107,Athens (GA),USA,AHN
108,Athens (OH),USA,ATO
109,Atlanta(GA) - Hartsfield Atlanta International Airport,USA,ATL
110,Atlantic City(NJ) - Atlantic City International,USA,ACY
111,"Attawapiskat, NT",Canada,YAT
112,Auckland- Auckland International Airport,New Zealand,AKL
113,Augsburg - Augsbur gAirport,Germany,AGB
114,Augusta (GA),USA,AGS
115,Augusta(ME) - Augusta State Airport,USA,AUG
116,Aurillac,France,AUR
117,Austin(TX) - Austin-Bergstrom Airport,USA,AUS
118,Ayawasi,Indonesia,AYW
119,Ayers Rock- Connellan,Australia,AYQ
120,Ayr,Australia,AYR
