,Airport,Country,IATA CODE
0,,,
1,B,,
2,Badajoz,Spain,BJZ
3,Bagdad- Baghdad International Airport,Iraq,BGW
4,Bagdogra,India,IXB
5,Bahamas- Lynden Pindling International Airport,The Bahamas,NAS
6,Bahawalpur,Pakistan,BHV
7,Bahrain- Bahrain International Airport,Bahrain,BAH
8,Bakersfield (CA),USA,BFL
9,Baku- Heydar Aliyev International Airport,Azerbaijan,BAK
10,Ballina,Australia,BNK
11,Baltimore(MD) - Washington International Airport,USA,BWI
12,Bamaga,Australia,ABM
13,Bamako- Bamako-Sénou International Airport,Mali,BKO
14,Bambari,Central African Republic,BBY
15,Bandar Seri Begawan- Brunei International Airport,Brunei,BWN
16,Bandung- Husein Sastranegara International Airport,Indonesia,BDO
17,Bangalore,India,BLR
18,Bangassou,Central African Republic,BGU
19,"Bangkok, Don Muang",Thailand,DMK
20,"Bangkok, Suvarnabhumi International",Thailand,BKK
21,Bangor (ME),USA,BGR
22,Bangui- M'Poko International Airport,Central African Republic,BGF
23,Banjul- Banjul International Airport (Yundum International),Gambia,BJL
24,Bannu,Pakistan,BNP
25,Barcelona,Spain,BCN
26,Barcelona,Venezuela,BLA
27,Bardufoss,Norway,BDU
28,Bari,Italy,BRI
29,Barisal,Bangladesh,BZL
30,Baroda,India,BDQ
31,Barra (the famous tidal beach landing),United Kingdom,BRR
32,Barranquilla,Colombia,BAQ
33,Basel,Switzerland,BSL
34,Basel/Mulhouse,Switzerland/France,EAP
35,"Basra, Basrah",Iraq,BSR
36,Basse-Terre- Pointe-à-Pitre International Airport,Guadeloupe,PTP
37,Basseterre- Robert L. Bradshaw International Airport,Saint Kitts and Nevis,SKB
38,Bastia,France,BIA
39,Baton Rouge(LA) - Baton Rouge Metropolitan Airport,USA,BTR
40,Bayreuth - Bindlacher-Berg,Germany,BYU
41,Beaumont/Pt. Arthur (TX),USA,BPT
42,Beckley (WV),USA,BKW
43,Beef Island- Terrance B. Lettsome,Virgin Islands (British),EIS
44,Beijing,China,PEK
45,Beijing- Nanyuan Airport,China,NAY
46,Beira,Mozambique,BEW
47,Beirut- Beirut Rafic Hariri International Airport,Lebanon,BEY
48,Belem- Val de Cans International Airport,Brazil,BEL
49,Belfast- George Best Belfast City Airport,United Kingdom,BHD
50,Belfast- Belfast International Airport,United Kingdom,BFS
51,Belgaum,India,IXG
52,Belgrad(Beograd) - Belgrade Nikola Tesla International,Serbia,BEG
53,Belize City- Philip S.W.Goldson International,Belize,BZE
54,Bellingham (WA),USA,BLI
55,Belo Horizonte- Tancredo Neves International Airport,Brazil,CNF
56,Bemidji (MN),USA,BJI
57,Benbecula,United Kingdom,BEB
58,Benghazi(Bengasi),Libya,BEN
59,Benguela,Angola,BUG
60,Benton Harbour (MI),USA,BEH
61,Berberati,Central African Republic,BBT
62,Bergamo/Milan- Orio Al Serio,Italy,BGY
63,Bergen,Norway,BGO
64,Bergerac - Roumanieres,France,EGC
65,Berlin,Germany,BER
66,"Berlin, Schoenefeld",Germany,SXF
67,"Berlin, Tegel",Germany,TXL
68,"Berlin, Tempelhof (ceased operating in 2008)",Germany,THF
69,Bermuda- L.F. Wade International Airport,Bermuda,BDA
70,"Berne, Bern-Belp",Switzerland,BRN
71,"Berne, Railway Service",Switzerland,ZDJ
72,Bethel (AK),USA,BET
73,Bhopal,India,BHO
74,Bhubaneswar,India,BBI
75,Biarritz,France,BIQ
76,Bilbao,Spain,BIO
77,Billings (MT),USA,BIL
78,Billund,Denmark,BLL
79,Bintulu,Malaysia,BTU
80,Biraro,Central African Republic,IRO
81,Birmingham- Birmingham International Airport,United Kingdom,BHX
82,Birmingham (AL),USA,BHM
83,Bishkek- Manas International Airport,Kyrgyzstan,FRU
84,Bismarck(ND) - Bismarck Municipal Airport,USA,BIS
85,Bissau- Osvaldo Vieiro International Airport,Guinea-Bissau,BXO
86,Blackpool,United Kingdom,BLK
87,Blackwater,Australia,BLT
88,Blantyre (Mandala) - Chileka International Airport,Malawi,BLZ
89,Blenheim,New Zealand,BHE
90,Bloemfontein- Bloemfontein Airport,South Africa,BFN
91,Bloomington (IL),USA,BMI
92,Bloomington (IN),USA,BMG
93,Bluefield (WV),USA,BLF
94,Boa Vista,Brazil,BVB
95,Bobo/Dioulasso,Burkina Faso,BOY
96,Bodo,Norway,BOO
97,Bodrum - Milas Airport,Turkey,BJV
98,Bogota- El Nuevo Dorado International Airport,Colombia,BOG
99,Boise(ID) - Boise Air Terminal,USA,BOI
100,Bologna,Italy,BLQ
101,Bombay(Mumbai) - Chhatrapati Shivaji International,India,BOM
102,Bonaire,Netherlands Antilles,BON
103,"Bonaventure, PQ",Canada,YVB
104,Bora Bora,French Polynesia,BOB
105,Bordeaux- Bordeaux Airport,France,BOD
106,Borrego Springs (CA),USA,BXS
107,Boston(MA) - General Edward Lawrence Logan,USA,BOS
108,Bouake,Cote d'Ivoire,BYK
109,Bourgas/Burgas,Bulgaria,BOJ
110,Bournemouth,United Kingdom,BOH
111,Bowen,Australia,ZBO
112,Bozeman (MT),USA,BZN
113,Bradford/Warren (PA) /Olean (NY),USA,BFD
114,Brainerd (MN),USA,BRD
115,Brampton Island,Australia,BMP
116,Brasilia- President Juscelino Kubitschek International,Brazil,BSB
117,Bratislava- M. R. Štefánik Airport,Slovakia,BTS
118,Brazzaville- Maya-Maya Airport,Congo (ROC),BZV
119,Bremen- Bremen Airport (Flughafen Bremen),Germany,BRE
120,"Brescia, Montichiari",Italy,VBS
121,Brest,France,BES
122,Bria,Central African Republic,BIV
123,Bridgeport (CT),USA,BDR
124,Bridgetown- Grantley Adams International,Barbados,BGI
125,Brindisi,Italy,BDS
126,Brisbane,Australia,BNE
127,Bristol,United Kingdom,BRS
128,Broennoeysund,Norway,BNN
129,Broken Hill,Australia,BHQ
130,Brookings (SD),USA,BKX
131,Broome,Australia,BME
132,Brunswick (GA),USA,BQK
133,Brussels- Brussels Airport,Belgium,BRU
134,Bucaramanga,Colombia,BGA
135,Bucharest,Romania,BUH
136,Bucharest- Henri Coandă International Airport,Romania,OTP
137,Budapest- Budapest Ferihegy International Airport,Hungary,BUD
138,Buenos Aires,Argentina,BUE
139,"Buenos Aires, Ezeiza International Airport",Argentina,EZE
140,"Buenos Aires, Jorge Newbery",Argentina,AEP
141,Buffalo Range,Zimbabwe,BFO
142,Buffalo/Niagara Falls (NY),USA,BUF
143,Bujumbura- Bujumbura International Airport,Burundi,BJM
144,Bulawayo,Zimbabwe,BUQ
145,Bullhead City (NV),USA,BHC
146,Bundaberg,Australia,BDB
147,Burbank (CA),USA,BUR
148,Burlington IA,USA,BRL
149,Burlington (VT),USA,BTV
150,Burnie (Wynyard),Australia,BWT
151,Butte (MT),USA,BTM
