,Airport,Country,IATA CODE
0,,,
1,C,,
2,Cabinda,Angola,CAB
3,Cagliari,Italy,CAG
4,Cairns,Australia,CNS
5,Cairo- Cairo International Airport,Egypt,CAI
6,Calama - El Loa,Chile,CJC
7,Calcutta(Kolkata) - Netaji Subhas Chandra,India,CCU
8,Calgary- Calgary International Airport,Canada,YYC
9,Cali,Colombia,CLO
10,Calicut,India,CCJ
11,Calvi,France,CLY
12,Cambridge Bay,Canada,YCB
13,Cambrigde,United Kingdom,CBG
14,Campbeltown,United Kingdom,CAL
15,Campo Grande,Brazil,CGR
16,Canberra- Canberra Airport,Australia,CBR
17,Cancun,Mexico,CUN
18,Cannes– Mandelieu Airport,France,CEQ
19,Canouan(island) - Canouan Airport,Saint Vincent & the Grenadines,CIW
20,Cape Town- Cape Town International Airport,South Africa,CPT
21,Caracas- Simón Bolívar International Airport,Venezuela,CCS
22,Cardiff- Cardiff Airport,United Kingdom,CWL
23,Carlsbad (CA),USA,CLD
24,Carnarvon,Australia,CVQ
25,Carnot,Central African Republic,CRF
26,Carson City(NV),USA,CSN
27,Casablanca,Morocco,CAS
28,"Casablanca, Mohamed V",Morocco,CMN
29,Casa de Campo - La Romana International Airport,Dominican Republic,LRM
30,Casino,Australia,CSI
31,Casper (WY),USA,CPR
32,Castaway,Fiji,CST
33,Cartagena - Rafael Núñez International Airport,Colombia,CTG
34,Castries- George F. L. Charles Airport,Saint Lucia,SLU
35,Catania,Italy,CTA
36,Cayenne- Cayenne-Rochambeau Airport,French Guiana,CAY
37,Cottbus - Cottbus-Drewitz Airport,Germany,CBU
38,Cebu City- Mactan-Cebu International,Philippines,CEB
39,Cedar City (UT),USA,CDC
40,Cedar Rapids IA,USA,CID
41,Ceduna,Australia,CED
42,Cessnock,Australia,CES
43,Chabarovsk (Khabarovsk),Russia,KHV
44,Chambery,France,CMF
45,Champaign (IL),USA,CMI
46,Chandigarh- Chandigarh International Airport,India,IXC
47,Changchun,"Jilin,PR China",CGQ
48,Chania,Greece,CHQ
49,"Chaoyang, Beijing - Chaoyang Airport",PR China,CHG
50,Charleston (SC),USA,CHS
51,Charleston(WV) - Yeager Airport,USA,CRW
52,Charlotte(NC),USA,CLT
53,Charlottesville (VA),USA,CHO
54,Charters Towers,Australia,CXT
55,Chattanooga (TN),USA,CHA
56,Chengdu - Shuangliu,"Sichuan,PR China",CTU
57,Chennai(Madras),India,MAA
58,Cheyenne(WY) - Cheyenne Regional Airport,USA,CYS
59,Chiang Mai- Chiang Mai International Airport,Thailand,CNX
60,Chiba City,Japan,QCB
61,"Chicago(IL), Midway",USA,MDW
62,"Chicago(IL), O'Hare International Airport",USA,ORD
63,Chicago(IL),USA,CHI
64,Chichen Itza,Mexico,CZA
65,Chico (CA),USA,CIC
66,Chihuahua - Gen Fierro Villalobos,Mexico,CUU
67,Chios,Greece,JKH
68,Chipata,Zambia,CIP
69,Chisinau- Chişinău International Airport,Moldova,KIV
70,Chita (Tschita),Russia,HTA
71,Sapporo- New Chitose Airport,Japan,CTS
72,Chitral,Pakistan,CJL
73,Chittagong,Bangladesh,CGP
74,Chongqing- Jiangbei International Airport,"Sichuan,PR China",CKG
75,Christchurch,New Zealand,CHC
76,Chub Cay,Bahamas,CCZ
77,Churchill,Canada,YYQ
78,Cienfuegos - Jaime González Airport,Cuba,CFG
79,Cincinnati(OH) - Cincinnati/Northern Kentucky Int'l,USA,CVG
80,Ciudad Del Carmen,Mexico,CME
81,Ciudad Guayana,Venezuela,CGU
82,Ciudad Juarez,Mexico,CJS
83,Ciudad Obregon,Mexico,CEN
84,Ciudad Victoria,Mexico,CVM
85,Clarksburg (WV),USA,CKB
86,Clermont,Australia,CMQ
87,Clermont Ferrand,France,CFE
88,"Cleveland(OH) , Burke Lakefront",USA,BKL
89,Cleveland(OH) - Cleveland Hopkins International,USA,CLE
90,Cochabamba,Bolivia,CBB
91,Cochin,India,COK
92,Cody/Powell/Yellowstone (WY),USA,COD
93,Coffmann Cove (AK),USA,KCC
94,Coffs Harbour,Australia,CFS
95,Coimbatore,India,CJB
96,Colima,Mexico,CLQ
97,College Station/Bryan (TX),USA,CLL
98,Collinsville,Australia,KCE
99,Cologne- Cologne Airport (Flughafen Köln/Bonn),Germany,CGN
100,Colombo- Bandaranaike International Airport,Sri Lanka,CMB
101,Colorado Springs (CO),USA,COS
102,Columbia(SC) - Columbia Metropolitan Airport,USA,CAE
103,Columbus (GA),USA,CSG
104,Columbus(OH) - Port Columbus International,USA,CMH
105,Conakry- Conakry International Airport,Guinea,CKY
106,Concord (CA) - Buchanan Field,USA,CCR
107,Concord(NH) - Concord Municipal Airport,USA,CON
108,Constantine,Algeria,CZL
109,Constanta(Constanța) - Constanta Int'l Airport,Romania,CND
110,Coober Pedy,Australia,CPD
111,Cooktown,Australia,CTN
112,Cooma,Australia,OOM
113,Copenhagen- Copenhagen Airport,Denmark,CPH
114,Cordoba,Argentina,COR
115,Cordoba,Spain,ODB
116,Cordova (AK),USA,CDV
117,Corfu,Greece,CFU
118,Cork,Ireland,ORK
119,Corpus Christi (TX),USA,CRP
120,Cotonou- Cotonou Cadjehoun Airport,Benin,COO
121,Coventry - Baginton,United Kingdom,CVT
122,Cozmel,Mexico,CZM
123,Craig (AK),USA,CGA
124,Crescent City (CA),USA,CEC
125,Cuiaba- Marechal Rondon International Airport,Brazil,CGB
126,Culiacan,Mexico,CUL
127,Curacao- Curaçao International Airport,Netherlands Antilles,CUR
128,Curitiba- Afonso Pena International Airport,Brazil,CWB
129,Cuyo,Philippines,CYU
