,Airport,Country,IATA CODE
0,,,
1,D,,
2,Dakar- Léopold Sédar Senghor International Airport,Senegal,DKR
3,Dalaman,Turkey,DLM
4,Dalby,Australia,DBY
5,Dalian - Zhoushuizi International Airport,"Liaoning,PR China",DLC
6,"Dallas(TX) , Love Field",USA,DAL
7,Dallas/Ft. Worth(TX) - Dallas/Fort Worth International,USA,DFW
8,Daloa,Cote d'Ivoire,DJO
9,"Damascus, International",Syria,DAM
10,"Dammam, King Fahad International",Saudi Arabien,DMM
11,Danville (VA),USA,DAN
12,Dar es Salam(Daressalam) - Julius Nyerere Int'l,Tanzania,DAR
13,Darwin,Australia,DRW
14,Daydream Island,Australia,DDI
15,Dayton (OH),USA,DAY
16,Daytona Beach (FL),USA,DAB
17,Decatur (IL),USA,DEC
18,Deer Lake/Corner Brook,Canada,YDF
19,Delhi- Indira Gandhi International Airport,India,DEL
20,Den Haag(The Hague),Netherlands,HAG
21,Denizli,Turkey,DNZ
22,Denpasar/Bali,Indonesia,DPS
23,Denver(CO) - Denver International Airport,USA,DEN
24,Dera Ismail Khan - Dera Ismail Khan Airport,Pakistan,DSK
25,Derby,Australia,DRB
26,Derry (Londonderry),United Kingdom,LDY
27,Des Moines(IA) - Des Moines International Airport,USA,DSM
28,"Detroit(MI) , Coleman A. Young Municipal",USA,DET
29,"Detroit(MI) , Wayne County Airport",USA,DTW
30,"Detroit(MI) , Metropolitan Area",USA,DTT
31,Devils Lake (ND),USA,DVL
32,Devonport,Australia,DPO
33,Dhahran,Saudi Arabia,DHA
34,Dhaka- Zia International Airport,Bangladesh,DAC
35,Dili- Nicolau Lobato International Airport,Timor Leste(East Timor),DIL
36,Dillingham (AK),USA,DLG
37,Dinard,France,DNR
38,Disneyland Paris,France,DLP
39,Djerba,Tunisia,DJE
40,Djibouti(city) - Djibouti-Ambouli International Airport,Djibouti,JIB
41,Dodoma- Dodoma Airport,Tanzania,DOD
42,Doha- Doha International Airport,Qatar,DOH
43,"Doncaster/Sheffield, Robin Hood International Airport",United Kingdom,DSA
44,Donegal (Carrickfin),Ireland,CFN
45,Dortmund,Germany,DTM
46,Dothan (AL),USA,DHN
47,Douala,Cameroon,DLA
48,Dresden- Dresden Airport,Germany,DRS
49,Dubai- Dubai International Airport,United Arab Emirates,DXB
50,Dubbo,Australia,DBO
51,Dublin- Dublin International Airport,Ireland,DUB
52,Dubois (PA),USA,DUJ
53,Dubrovnik,Croatia(Hrvatska),DBV
54,Dubuque IA,USA,DBQ
55,Duesseldorf- Düsseldorf International Airport,Germany,DUS
56,Duluth (MN) /Superior (WI),USA,DLH
57,Dundee,United Kingdom,DND
58,Dunedin,New Zealand,DUD
59,Dunk Island,Australia,DKI
60,Durango (CO),USA,DRO
61,Durban,South Africa,DUR
62,Dushanbe(Duschanbe) - Dushanbe Airport,Tajikistan,DYU
63,Dutch Harbor (AK),USA,DUT
64,Dysart,Australia,DYA
65,Dzaoudzi,Mayotte,DZA
