,Airport,Country,IATA CODE
0,,,
1,E,,
2,East London,South Africa,ELS
3,Easter Island,Chile,IPC
4,Eau Clarie (WI),USA,EAU
5,Edinburgh- Edinburgh Airport,"Scotland,UK",EDI
6,Edmonton,Canada,YEA
7,"Edmonton, International",Canada,YEG
8,"Edmonton, Municipal",Canada,YXD
9,Egilsstadir,Iceland,EGS
10,Eindhoven,Netherlands,EIN
11,Samana - Samaná El Catey International Airport,Dominican Republic,AZS
12,"Elba Island, Marina Di Campo",Italy,EBA
13,Elat,Israel,ETH
14,"Elat, Ovula",Israel,VDA
15,Elkhart (IN),USA,EKI
16,Elko (NV),USA,EKO
17,Ellisras,South Africa,ELL
18,El Minya,Egypt,EMY
19,Elmira (NY),USA,ELM
20,El Paso(TX) - El Paso International Airport,USA,ELP
21,Ely (NV),USA,ELY
22,Emerald,Australia,EDR
23,Emerald,Australia,EMD
24,Enontekioe,Finland,ENF
25,Entebbe- Entebbe International Airport,Uganda,EBB
26,Erfurt- Erfurt Airport (Flughafen Erfurt),Germany,ERF
27,Erie (PA),USA,ERI
28,"Eriwan(Yerevan, Jerevan)",Armenia,EVN
29,Erzincan,Turkey,ERC
30,Erzurum,Turkey,ERZ
31,Esbjerg,Denmark,EBJ
32,Escanaba (MI),USA,ESC
33,Esperance,Australia,EPR
34,Eugene (OR),USA,EUG
35,Eureka (CA),USA,ACV
36,Evansville (IN),USA,EVV
37,Evenes,Norway,EVE
38,Exeter,United Kingdom,EXT
