,Airport,Country,IATA CODE
0,,,
1,F,,
2,Fairbanks (AK),USA,FAI
3,Fair Isle (Shetland),United Kingdom,FIE
4,Faisalabad,Pakistan,LYP
5,Fargo (ND) (MN),USA,FAR
6,Farmington (NM),USA,FMN
7,Faro,Portugal,FAO
8,Faroer- Vágar Airport,Denmark,FAE
9,Fayetteville (AR),USA,FYV
10,Fayetteville/Ft. Bragg (NC),USA,FAY
11,Fes,Morocco,FEZ
12,Figari,France,FSC
13,Flagstaff (AZ),USA,FLG
14,Flin Flon,Canada,YFO
15,Flint (MI),USA,FNT
16,Florence(Firenze) - Peretola Airport,Italy,FLR
17,Florence (SC),USA,FLO
18,Florianopolis,Brazil,FLN
19,Floro,Norway,FRO
20,Fort Albert,Canada,YFA
21,Fortaleza- Pinto Martins Airport,Brazil,FOR
22,Fort de France- Martinique Aimé Césaire International,Martinique,FDF
23,Fort Dodge IA,USA,FOD
24,Fort Huachuca/Sierra Vista (AZ),USA,FHU
25,Fort Lauderdale/Hollywood (FL),USA,FLL
26,Fort McMurray,Canada,YMM
27,"Fort Myers, Metropolitan Area (FL)",USA,FMY
28,"Fort Myers, Southwest Florida Reg (FL)",USA,RSW
29,Fort Riley (KS) - Marshall AAF,USA,FRI
30,Fort Smith,Canada,YSM
31,Fort Smith (AR),USA,FSM
32,Fort St. John,Canada,YXJ
33,Fort Walton Beach (FL),USA,VPS
34,Fort Wayne (IN),USA,FWA
35,Fort Worth(TX) - Dallas/Fort Worth International Airport,USA,DFW
36,Foula (Shetland),United Kingdom,FOU
37,Francistown,Botswana,FRW
38,Frankfurt/Main- Frankfurt Airport (Rhein-Main-Flughafen),Germany,FRA
39,Frankfurt/Hahn,Germany,HHN
40,Franklin/Oil City (PA),USA,FKL
41,Fredericton,Canada,YFC
42,Freeport- Grand Bahama International Airport,Bahamas,FPO
43,Freetown- Freetown-Lungi International Airport,Sierra Leone,FNA
44,Frejus,France,FRJ
45,Fresno (CA),USA,FAT
46,Friedrichshafen- Bodensee-Airport Friedrichshafen,Germany,FDH
47,Fuerteventura,Spain,FUE
48,"Fujairah, International Airport",United Arab Emirates,FJR
49,Fukuoka,Japan,FUK
50,Fukushima- Fukushima Airport,Japan,FKS
51,Funchal,Portugal,FNC
52,Futuna,Wallis and Futuna Islands,FUT
