,Airport,Country,IATA CODE
0,,,
1,G,,
2,Gaborone- Sir Seretse Khama International Airport,Botswana,GBE
3,Gadsden (AL),USA,GAD
4,Gainesville (FL),USA,GNV
5,Galway,Ireland,GWY
6,Gander,Canada,YQX
7,Garoua,Cameroon,GOU
8,Gaza City - Gaza International Airport,Palestinian Territory,GZA
9,Gaziantep,Turkey,GZT
10,Gdansk,Poland,GDN
11,Geelong,Australia,GEX
12,Geneva- Geneva-Cointrin International Airport,Switzerland,GVA
13,Genoa,Italy,GOA
14,George,South Africa,GRJ
15,Georgetown- Cheddi Jagan International Airport,Guyana,GEO
16,Geraldton,Australia,GET
17,Gerona,Spain,GRO
18,Ghent (Gent),Belgium,GNE
19,Gibraltar,Gibraltar,GIB
20,Gilette (WY),USA,GCC
21,Gilgit,Pakistan,GIL
22,Gillam,Canada,YGX
23,Gladstone,Australia,GLT
24,"Glasgow, Prestwick",United Kingdom,PIK
25,Glasgow,United Kingdom,GLA
26,Glasgow (MT),USA,GGW
27,Glendive (MT),USA,GDV
28,Goa,India,GOI
29,"Goiania, Santa Genoveva Airport",Brazil,GYN
30,Gold Coast,Australia,OOL
31,Goondiwindi,Australia,GOO
32,Goose Bay,Canada,YYR
33,Gorna,Bulgaria,GOZ
34,Gothenburg (Göteborg) - Landvetter,Sweden,GOT
35,Gove (Nhulunbuy),Australia,GOV
36,Govenors Harbour,Bahamas,GHB
37,Granada,Spain,GRX
38,Grand BahamaInternational,Bahamas,FPO
39,Grand Canyon (AZ),USA,GCN
40,Grand Cayman - Owen Roberts International,Cayman Islands,GCM
41,Grand Forks (ND),USA,GFK
42,Grand Junction (CO),USA,GJT
43,Grand Rapids (MI),USA,GRR
44,Grand Rapids (MN),USA,GPZ
45,Graz,Austria,GRZ
46,Great Falls (MT),USA,GTF
47,Great Keppel Island,Australia,GKL
48,Green Bay (WI),USA,GRB
49,Greenbrier/Lewisburg (WV),USA,LWB
50,Greensboro/Winston Salem (NC),USA,GSO
51,Greenville (MS),USA,GLH
52,Greenville (NC),USA,PGV
53,Greenville/Spartanburg (SC),USA,GSP
54,Grenada- Point Salines Airport also Maurice Bishop,Grenada,GND
55,Grenoble,France,GNB
56,Griffith,Australia,GFF
57,Groningen - Eelde,Netherlands,GRQ
58,Groote Eylandt - Alyangula,Australia,GTE
59,Groton/New London (CT),USA,GON
60,Guadalajara,Mexico,GDL
61,Guadalcanal,Solomon Islands,GSI
62,Guam,Guam,GUM
63,Guangzhou(Canton) - Baiyun International Airport,"Guangdong,PR China",CAN
64,Sao Paulo- Guarulhos International,Brazil,GRU
65,Guatemala City- La Aurora International Airport,Guatemala,GUA
66,Guayaquil- Simon Bolivar,Ecuador,GYE
67,Guernsey,Channel Islands,GCI
68,Guettin,Germany,GTI
69,Gulfport/Biloxi (MS),USA,GPT
70,Guilin - Liangjiang,"Guangxi,PR China",KWL
71,Gulu,Uganda,ULU
72,Gunnison/Crested Butte (CO),USA,GUC
73,Guwahati,India,GAU
74,Gwadar,Pakistan,GWD
75,Gweru,Zimbabwe,GWE
76,Gympie,Australia,GYP
