,Airport,Country,IATA CODE
0,,,
1,H,,
2,Hachijo Jima,Japan,HAC
3,Hagåtña- Guam International Airport,Guam,GUM
4,Haifa,Israel,HFA
5,Haines (AK),USA,HNS
6,Hakodate,Japan,HKD
7,Halifax International,Canada,YHZ
8,Hall Beach,Canada,YUX
9,Hamburg- Fuhlsbuettel,Germany,HAM
10,Hamilton,Australia,HLT
11,Hamilton,Canada,YHM
12,Hamilton,New Zealand,HLZ
13,Hamilton Island,Australia,HTI
14,Hammerfest,Norway,HFT
15,Hancock (MI),USA,CMX
16,Hangchow (Hangzhou),"Zhejiang,PR China",HGH
17,Hannover,Germany,HAJ
18,Hanoi- Noi Bai International Airport,Vietnam,HAN
19,Harare- Harare International Airport,Zimbabwe,HRE
20,Harbin (Haerbin),"Heilongjiang,PR China",HRB
21,Harlingen/South Padre Island (TX),USA,HRL
22,"Harrington Harbour, PQ",Canada,YHR
23,Harrisburg(PA) - Harrisburg Skyport,USA,HAR
24,Harrisburg(PA) - Harrisburg International,USA,MDT
25,Hartford(CT) /Springfield (MA),USA,BDL
26,Hatyai (Hat Yai),Thailand,HDY
27,Haugesund,Norway,HAU
28,Havana- José Martí International,Cuba,HAV
29,Havre (MT),USA,HVR
30,Hayman Island,Australia,HIS
31,Helena(MT),USA,HLN
32,Helsingborg,Sweden,JHE
33,Helsinki- Vantaa,Finland,HEL
34,Heraklion,Greece,HER
35,Hermosillo - Gen. Pesqueira Garcia,Mexico,HMO
36,Hervey Bay,Australia,HVB
37,Hibbing (MN),USA,HIB
38,Hickory (NC),USA,HKY
39,Hilo (HI),USA,ITO
40,Hilton Head Island (SC),USA,HHH
41,Hinchinbrook Island,Australia,HNK
42,Hiroshima International,Japan,HIJ
43,Ho Chi Minh City(Saigon) - Tan Son Nhat International,Viet Nam,SGN
44,Hobart,Australia,HBA
45,Hof,Germany,HOQ
46,Holguin,Cuba,HOG
47,Home Hill,Australia,HMH
48,Homer (AK),USA,HOM
49,Hong Kong- International Airport (HKIA),Hong Kong,HKG
50,Hong Kong- Chek Lap Kok,Hong Kong,ZJK
51,HoniaraHenderson International,Solomon Islands,HIR
52,Honolulu(HI) - Honolulu International Airport,USA,HNL
53,Hoonah (AK),USA,HNH
54,Horta,Portugal,HOR
55,"Houston(TX) , Hobby",USA,HOU
56,"Houston, TX - George Bush Intercontinental Airport",USA,IAH
57,Huahine,French Polynesia,HUH
58,Huatulco,Mexico,HUX
59,Hue - Phu Bai,Viet Nam,HUI
60,Humberside,United Kingdom,HUY
61,Huntington (WV),USA,HTS
62,Huntsville (AL),USA,HSV
63,Hurghada International,Egypt,HRG
64,Huron (SD),USA,HON
65,Hwange National Park,Zimbabwe,HWN
66,Hyannis (MA),USA,HYA
67,Hydaburg (AK),USA,HYG
68,Hyderabad- Rajiv Gandhi International Airport,India,HYD
69,Hyderabad,Pakistan,HDD
