,Airport,Country,IATA CODE
0,,,
1,I,,
2,Ibiza,Ibiza/Spain,IBZ
3,Idaho Falls (ID),USA,IDA
4,"Iguazu, Cataratas",Argentina,IGR
5,Ile des Pins,New Caledonia,ILP
6,Ile Ouen,New Caledonia,IOU
7,Iliamna (AK),USA,ILI
8,Imperial (CA),USA,IPL
9,Incercargill,New Zealand,IVC
10,"Incheon, Incheon International Airport",Korea South,ICN
11,Indianapolis(IN) International,USA,IND
12,Ingham,Australia,IGH
13,Innisfail,Australia,IFL
14,Innsbruck - Kranebitten,Austria,INN
15,International Falls (MN),USA,INL
16,Inuvik,Canada,YEV
17,Invercargill,New Zealand,IVC
18,Inverness,United Kingdom,INV
19,Inykern (CA),USA,IYK
20,Iqaluit (Frobisher Bay),Canada,YFB
21,Iquitos,Peru,IQT
22,Irkutsk,Russia,IKT
23,Ishigaki - New Ishigaki Airport,Japan,ISG
24,Islamabad- Benazir Bhutto International Airport,Pakistan,ISB
25,Islay,United Kingdom,ILY
26,Isle of Man,,IOM
27,Istanbul- Istanbul Atatürk Airport,Turkey,IST
28,Istanbul- Sabiha Gokcen,Turkey,SAW
29,Ithaca/Cortland (NY),USA,ITH
30,Ivalo,Finland,IVL
31,Ixtapa/Zihuatenejo,Mexico,ZIH
32,Izmir,Turkey,IZM
33,Izmir - Adnan Menderes Airport,Turkey,ADB
