,Airport,Country,IATA CODE
0,,,
1,J,,
2,Jackson Hole (WY),USA,JAC
3,Jackson (MI) - Reynolds Municipal,USA,JXN
4,"Jackson,  MN",USA,MJQ
5,Jackson(MS) - Jackson Internationall,USA,JAN
6,Jackson(MS) - Hawkins Field,USA,HKS
7,Jackson (TN) - Mckellar,USA,MKL
8,Jackson Hole (WY),USA,JAC
9,Jacksonville (AR)  Little Rock AFB,USA,LRF
10,Jacksonville(FL) - Cecil Field NAS,USA,NZC
11,Jacksonville(FL) Jacksonville NAS,USA,NIP
12,Jacksonville(FL) - International,USA,JAX
13,Jacksonville(FL) - Craig Municipal,USA,CRG
14,Jacksonville (IL) - Municipal Airport,USA,IJX
15,Jacksonville (NC),USA,OAJ
16,Jacksonville (TX),USA,JKV
17,Jacmel,Haiti,JAK
18,Jacobabad,Pakistan,JAG
19,Jacobina,Brazil,JCM
20,Jacquinot Bay,Papua New Guinea,JAQ
21,Jaffna - Kankesanturai,Sri Lanka,JAF
22,Jagdalpur,India,JGB
23,Jaipur - Sanganeer,India,JAI
24,Jaisalmer,India,JSA
25,Jakarta- Halim Perdana Kusuma,Indonesia,HLP
26,Jakarta- Metropolitan Area,Indonesia,JKT
27,Jakarta- Soekarno-Hatta International,Indonesia,CGK
28,Jalalabad,Afghanistan,JAA
29,Jalandhar,India,JLR
30,Jalapa,Mexico,JAL
31,Jales,Brazil,JLS
32,Jaluit Island,Marshall Islands,UIT
33,Jamba,Angola,JMB
34,Jambi - Sultan Taha Syarifudn,Indonesia,DJB
35,Jambol,Bulgaria,JAM
36,Jamestown (ND),USA,JMS
37,Jamestown (NY),USA,JHW
38,Jammu - Satwari,India,IXJ
39,Jamnagar - Govardhanpur,India,JGA
40,Jamshedpur - Sonari Airport,India,IXW
41,Janakpur,Nepal,JKR
42,Jandakot,Australia,JAD
43,Janesville (WI) - Rock County,USA,JVL
44,Januaria,Brazil,JNA
45,Jaque,Panama,JQE
46,Jatai,Brazil,JTI
47,Jauja,Peru,JAU
48,Jayapura - Sentani,Indonesia,DJJ
49,Jeddah - King Abdulaziz International,Saudi Arabia,JED
50,Jefferson City(MO) - Jefferson Memorial,USA,JEF
51,Jeremie - Jeremie Airport,Haiti,JEE
52,Jerez de la Frontera/Cadiz - La Parra,Spain,XRY
53,Jersey,Channel Islands,JER
54,Jerusalem- Atarot Airport (closed),Israel,JRS
55,Jessore - Jessore Airport,Bangladesh,JSR
56,Jeypore - Jeypore Airport,India,PYB
57,Ji'an,"Jiangxi,China",JGS
58,Jiamusi - Jiamusi Airport,PR China,JMU
59,Jiayuguan - Jiayuguan Airport,PR China,JGN
60,Jijel,Algeria,GJL
61,Jijiga,Ethiopia,JIJ
62,Jilin,PR China,JIL
63,Jimma,Ethiopia,JIM
64,Jinan,"Shandong,PR China",TNA
65,Jingdezhen,PR China,JDZ
66,Jinghong - Gasa Airport,PR China,JHG
67,Jining,PR China,JNG
68,Jinja,Uganda,JIN
69,Jinjiang,PR China,JJN
70,Jinka - Baco/Jinka Airport,Ethiopia,BCO
71,Jinzhou - Jinzhou Airport,PR China,JNZ
72,Jipijapa,Ecuador,JIP
73,Jiri,Nepal,JIR
74,Jiujiang - Jiujiang Lushan Airport,PR China,JIU
75,Jiwani,Pakistan,JIW
76,Joacaba,Brazil,JCB
77,Joao Pessoa- Castro Pinto Airport,Brazil,JPA
78,Jodhpur,India,JDH
79,Jönköping (Jonkoping) - Axamo Airport,Sweden,JKG
80,Joensuu,Finland,JOE
81,Johannesburg- OR Tambo International Airport,South Africa,JNB
82,Johnson City (NY) - Binghamton/Endicott/Johnson,USA,BGM
83,Johnston Island,USA,JON
84,Johnstown (PA),USA,JST
85,Johor Bahru- Sultan Ismail International,Malaysia,JHB
86,Joinville - Cubatao Airport,Brazil,JOI
87,Jolo,Philippines,JOL
88,Jomsom,Nepal,JMO
89,Jonesboro (AR)  Jonesboro Airport,USA,JBR
90,Joplin (MO),USA,JLN
91,Jorhat - Rowriah Airport,India,JRH
92,Jos,Nigeria,JOS
93,Jose De San Martin,Argentina,JSM
94,Jouf,Saudi Arabia,AJF
95,Juanjui,Peru,JJI
96,Juba,South Sudan,JUB
97,Juist (island),Germany,JUI
98,Juiz De Fora - Francisco De Assis Airport,Brazil,JDF
99,Jujuy - El Cadillal Airport,Argentina,JUJ
100,Julia Creek,Australia,JCK
101,Juliaca,Peru,JUL
102,Jumla,Nepal,JUM
103,Jundah,Australia,JUN
104,Juneau(AK) - Juneau International Airport,USA,JNU
105,Junin,Argentina,JNI
106,Juticalpa,Honduras,JUT
107,Jwaneng,Botswana,JWA
108,Jyväskylä (Jyvaskyla),Finland,JYV
