,Airport,Country,IATA CODE
0,,,
1,K,,
2,Kabul- Khwaja Rawash Airport,Afghanistan,KBL
3,Kagoshima,Japan,KOJ
4,Kahramanmaras,Turkey,KCM
5,Kahului (HI),USA,OGG
6,Kajaani,Finland,KAJ
7,Kalamata,Greece,KLX
8,Kalamazoo/Battle Creek (MI),USA,AZO
9,Kalgoorlie,Australia,KGI
10,Kaliningrad,Russia,KGD
11,Kalispell (MT),USA,FCA
12,Kalmar,Sweden,KLR
13,"Kamloops, BC",Canada,YKA
14,Kamuela (HI),USA,MUE
15,Kano,Nigeria,KAN
16,Kanpur,India,KNU
17,Kansas City(MO) - Kansas City International Airport,USA,MCI
18,Kaohsiung International,Taiwan,KHH
19,Kapalua West (HI),USA,JHM
20,Karachi- Jinnah International Airport,Pakistan,KHI
21,Karlsruhe-Baden - Soellingen,Germany,FKB
22,Karlstad,Sweden,KSD
23,Karpathos,Greece,AOK
24,Karratha,Australia,KTA
25,Kars,Turkey,KYS
26,Karumba,Australia,KRB
27,Karup,Denmark,KRP
28,"Kaschechawan, PQ",Canada,ZKE
29,Kassala,Sudan,KSL
30,Katherine,Australia,KTR
31,Kathmandu- Tribhuvan International Airport,Nepal,KTM
32,Katima Mulilo/Mpacha,Namibia,MPA
33,Kauhajoki,Finland,KHJ
34,Kaunakakai (HI),USA,MKK
35,Kavalla,Greece,KVA
36,Kayseri,Turkey,ASR
37,Kazan- Kazan International Airport,Russia,KZN
38,Keetmanshoop,Namibia,KMP
39,"Kelowna, BC",Canada,YLW
40,Kemi/Tornio,Finland,KEM
41,Kenai (AK),USA,ENA
42,Kent (Manston) Kent International,United Kingdom,MSE
43,Kerry County,Ireland,KIR
44,Ketchikan (AK),USA,KTN
45,Key West (FL),USA,EYW
46,Khamis Mushayat,Saudi Arabia,AHB
47,Kharga - New Valley,Egypt,UVL
48,Kharkov,Ukraine,HRK
49,Khartoum- Khartoum International Airport,Sudan,KRT
50,Khuzdar,Pakistan,KDD
51,Kiel- Holtenau,Germany,KEL
52,Kiev- Borispol,Ukraine,KBP
53,Kiev- Zhulhany,Ukraine,IEV
54,Kigali- Gregoire Kayibanda,Rwanda,KGL
55,Kilimadjaro,Tanzania,JRO
56,Killeem (TX),USA,ILE
57,Kimberley,South Africa,KIM
58,King Island,King Island (Australia),KNS
59,King Salomon (AK),USA,AKN
60,Kingscote,Australia,KGC
61,Kingston- Norman Manley,Jamaica,KIN
62,Kingston (NC),USA,ISO
63,Kingstown- E. T. Joshua Airport,Saint Vincent and the Grenadines,SVD
64,Kinshasa- N'Djili,Congo (DRC),FIH
65,Kiritimati (island) - Cassidy International Airport,Kiribati,CXI
66,Kirkenes,Norway,KKN
67,Kirkuk,Iraq,KIK
68,Kirkwall (Orkney),United Kingdom,KOI
69,Kiruna,Sweden,KRN
70,Kisangani,Congo (DRC),FKI
71,Kittilä,Finland,KTT
72,Kitwe,Zambia,KIW
73,Klagenfurt,Austria,KLU
74,Klamath Fall (OR),USA,LMT
75,Klawock (AK),USA,KLW
76,Kleinsee,South Africa,KLZ
77,Knock,Ireland,NOC
78,Knoxville (TN),USA,TYS
79,Kobe,Japan,UKB
80,Kochi,Japan,KCZ
81,"Köln, Köln/Bonn",Germany,CGN
82,Kodiak (AK),USA,ADQ
83,Kohat,Pakistan,OHT
84,Kokkola/Pietarsaari,Finland,KOK
85,Kolkata(Calcutta) - Netaji Subhas Chandra,India,CCU
86,Komatsu,Japan,KMQ
87,Kona (HI),USA,KOA
88,Konya,Turkey,KYA
89,Korhogo,Cote d'Ivoire,HGO
90,Kos,Greece,KGS
91,Kota Kinabalu,Malaysia,BKI
92,Kotzbue (AK),USA,OTZ
93,Kowanyama,Australia,KWM
94,Krakow (Cracow) - John Paul II International Airport,Poland,KRK
95,Kristiansand,Norway,KRS
96,Kristianstad,Sweden,KID
97,Kristiansund,Norway,KSU
98,Kuala Lumpur- International Airport,Malaysia,KUL
99,Kuala Lumpur- Sultan Abdul Aziz Shah,Malaysia,SZB
100,Kuantan,Malaysia,KUA
101,Kuching,Malaysia,KCH
102,Kumamoto,Japan,KMJ
103,Kununurra,Australia,KNX
104,Kuopio,Finland,KUO
105,Kushiro,Japan,KUH
106,Kuujjuaq (FortChimo),Canada,YVP
107,Kuujjuarapik,Canada,YGW
108,Kuusamo,Finland,KAO
109,Kuwait- Kuwait International,Kuwait,KWI
110,Kyoto,Japan,UKY
