,Airport,Country,IATA CODE
0,,,
1,L,,
2,Labe,Guinea,LEK
3,Labouchere Bay (AK),USA,WLB
4,Labuan,Malaysia,LBU
5,"Lac Brochet, MB",Canada,XLB
6,La Coruna,Spain,LCG
7,La Crosse (WI),USA,LSE
8,Lae - Lae Nadzab Airport,Papua New Guinea,LAE
9,La Rochelle,France,LRH
10,Lafayette (IN),USA,LAF
11,"Lafayette, La",USA,LFT
12,Lagos- Murtala Muhammed Airport,Nigeria,LOS
13,La Grande,Canada,YGL
14,Lahore,Pakistan,LHE
15,Lake Charles (LA),USA,LCH
16,Lake Havasu City (AZ),USA,HII
17,Lake Tahoe (CA),USA,TVL
18,Lakselv,Norway,LKL
19,Lambarene,Gabon,LBQ
20,Lamezia Terme,Italy,SUF
21,Lampedusa,Italy,LMP
22,Lanai City (HI),USA,LNY
23,Lancaster (PA),USA,LNS
24,Land's End,United Kingdom,LEQ
25,Langkawi (islands),Malaysia,LGK
26,Lannion,France,LAI
27,Lanseria,South Africa,HLA
28,Lansing(MI),USA,LAN
29,La Paz- El Alto,Bolivia,LPB
30,La Paz - Leon,Mexico,LAP
31,Lappeenranta,Finland,LPP
32,Laramie (WY),USA,LAR
33,Laredo (TX),USA,LRD
34,Larnaca,Cyprus,LCA
35,Las Palmas,Spain,LPA
36,Las Vegas(NV),USA,LAS
37,Latrobe (PA),USA,LBE
38,Launceston,Australia,LST
39,Laurel/Hattisburg (MS),USA,PIB
40,Laverton,Australia,LVO
41,Lawton (OK),USA,LAW
42,Lazaro Cardenas,Mexico,LZC
43,Leaf Rapids,Canada,YLR
44,Learmouth (Exmouth),Australia,LEA
45,Lebanon (NH),USA,LEB
46,Leeds/Bradford,United Kingdom,LBA
47,Leinster,Australia,LER
48,Leipzig,Germany,LEJ
49,Lelystad,Netherlands,LEY
50,Leon,Mexico,BJX
51,Leonora,Australia,LNO
52,Lerwick/Tingwall (Shetland Islands),United Kingdom,LWK
53,Lewiston (ID),USA,LWS
54,Lewistown (MT),USA,LWT
55,Lexington (KY),USA,LEX
56,Libreville,Gabon,LBV
57,Lidkoeping,Sweden,LDK
58,Liege,Belgium,LGG
59,Lifou,"Loyaute, Pazifik",LIF
60,Lihue (HI),USA,LIH
61,Lille- Lille Airport,France,LIL
62,Lilongwe- Lilongwe International,Malawi,LLW
63,Lima- J Chavez International,Peru,LIM
64,Limassol,Cyprus,QLI
65,Limoges,France,LIG
66,Lincoln(NE),USA,LNK
67,Lindeman Island,Australia,LDC
68,Linz - Hoersching,Austria,LNZ
69,Lisala,Congo (DRC),LIQ
70,Lisbon- Lisboa,Portugal,LIS
71,Lismore,Australia,LSY
72,Little Rock (AR),USA,LIT
73,Liverpool,United Kingdom,LPL
74,Lizard Island,Australia,LZR
75,Ljubljana- Brnik,Slovenia,LJU
76,Lockhart River,Australia,IRG
77,Lome,Togo,LFW
78,London,Canada,YXU
79,LondonMetropolitan Area,United Kingdom,LON
80,London- City Airport,United Kingdom,LCY
81,London- Gatwick,United Kingdom,LGW
82,London- Heathrow,United Kingdom,LHR
83,London- Luton,United Kingdom,LTN
84,London- Stansted,United Kingdom,STN
85,Londonderry - Eglinton,United Kingdom,LDY
86,Long Beach(CA),USA,LGB
87,Long Island (AK),USA,LIJ
88,"Long Island, Islip (NY) - Mac Arthur",USA,ISP
89,Longreach,Australia,LRE
90,Longview/Kilgore (TX),USA,GGG
91,Longyearbyen - Svalbard,Svalbard/Norway,LYR
92,Loreto,Mexico,LTO
93,Lorient,France,LRT
94,Los Angeles(CA) - International,USA,LAX
95,Los Cabos,Mexico,SJD
96,Los Mochis,Mexico,LMM
97,Los Rodeos,Teneriffa/Spain,TFN
98,Losinj - Losinj Arpt,Croatia(Hrvatska),LSZ
99,Lourdes/Tarbes,France,LDE
100,Louisville (KY),USA,SDF
101,Luanda- 4 de Fevereiro,Angola,LAD
102,Lubbock (TX),USA,LBB
103,Lucknow,India,LKO
104,Luederitz,Namibia,LUD
105,Luga,Malta,MLA
106,Lugano,Switzerland,LUG
107,Lulea,Sweden,LLA
108,Lumbumbashi,Congo (DRC),FBM
109,Lusaka- Lusaka International Airport,Zambia,LUN
110,Lusisiki,South Africa,LUJ
111,Luxembourg,Luxembourg,LUX
112,Luxi - Mangshi,"Yunnan,PR China",LUM
113,Luxor,Egypt,LXR
114,"Lvov (Lwow, Lemberg)",Ukraine,LWO
115,Lydd - Lydd International Airport,United Kingdom,LYX
116,Lynchburg (VA),USA,LYH
117,Lyon-Lyon-Saint Exupéry Airport,France,LYS
118,Lyons (KS) - Rice County Municipal,USA,LYO
