,Airport,Country,IATA CODE
0,,,
1,M,,
2,Maastricht/Aachen,Netherlands,MST
3,Macapa- Alberto Alcolumbre International Airport,Brazil,MCP
4,Macau- Macau International Airport,"Macau, China SAR",MFM
5,Maceio- Zumbi dos Palmares International Airport,Brazil,MCZ
6,Mackay,Australia,MKY
7,Macon (GA),USA,MCN
8,Mactan Island - Nab,Philippines,NOP
9,Madinah (Medina) - Mohammad Bin Abdulaziz,Saudi Arabia,MED
10,Madison(WI) - Dane County Regional Airport,USA,MSN
11,Madras(Chennai) - Chennai International Airport,India,MAA
12,Madrid- Barajas Airport,Spain,MAD
13,Mahe- Seychelles International,Seychelles,SEZ
14,Mahon,Spain,MAH
15,Maitland,Australia,MTL
16,Majunga,Madagascar,MJN
17,Makung,Taiwan,MZG
18,Malabo- Malabo International Airport,Equatorial Guinea,SSG
19,Malaga,Spain,AGP
20,Malatya,Turkey,MLX
21,Male- Velana International Airport,Maledives,MLE
22,Malindi,Kenya,MYD
23,Malmo(Malmoe),Sweden,MMA
24,Malmo(Malmö) - Malmö Airport,Sweden,MMX
25,Man,Cote d'Ivoire,MJC
26,Managua- Augusto C Sandino,Nicaragua,MGA
27,Manaus- Eduardo Gomes International Airport,Brazil,MAO
28,Manchester,United Kingdom,MAN
29,Manchester (NH),USA,MHT
30,Mandalay- Mandalay-Annisaton Airport,Myanmar,MDL
31,Manguna,Papua New Guinea,MFO
32,Manihi,French Polynesia,XMH
33,Manila- Ninoy Aquino International,Philippines,MNL
34,Manzanillo,Mexico,ZLO
35,Manzini - Matsapha International,Swaziland,MTS
36,Maputo- Maputo International,Mozambique,MPM
37,Mar del Plata,Argentina,MDQ
38,Maracaibo - La Chinita International,Venezuela,MAR
39,Maradi,Niger,MFQ
40,Maras,Turkey,KCM
41,Marathon (FL),USA,MTH
42,Mardin,Turkey,MQM
43,Mare,New Caledonia,MEE
44,Margate,South Africa,MGH
45,Margerita,Venezuela,PMV
46,Maribor,Slovenia,MBX
47,Mariehamn (Maarianhamina),Finland,MHQ
48,Maroua,Cameroon,MVR
49,Marquette (MI),USA,MQT
50,Marrakesh- Menara Airport,Morocco,RAK
51,Marsa Alam,Egypt,RMF
52,Marsa Matrah (Marsa Matruh),Egypt,MUH
53,Marseille- Marseille Provence Airport,France,MRS
54,Marsh Harbour,Bahamas,MHH
55,Martha's Vineyard (MA),USA,MVY
56,Martinsburg (WV),USA,MRB
57,Maryborough,Australia,MBH
58,Maseru- Moshoeshoe International,Lesotho,MSU
59,Mason City IA,USA,MCW
60,Masvingo,Zimbabwe,MVZ
61,"Matsumoto, Nagano",Japan,MMJ
62,Matsuyama,Japan,MYJ
63,Mattoon (IL),USA,MTO
64,Maun,Botswana,MUB
65,Maupiti,French Polynesia,MAU
66,Mauritius- S.Seewoosagur Ram International,Mauritius,MRU
67,Mayaguez,Puerto Rico,MAZ
68,Mazatlan,Mexico,MZT
69,McAllen (TX),USA,MFE
70,Medan- Polania Int'l (now Soewondo AFB),Indonesia,MES
71,Medan- Kualanamu International,Indonesia,KNO
72,Medellin - José María Córdova International,Colombia,MDE
73,Medford (OR),USA,MFR
74,Medina,Saudi Arabia,MED
75,Meekatharra,Australia,MKR
76,Melbourne- Melbourne Airport (Tullamarine),Australia,MEL
77,Melbourne (FL),USA,MLB
78,Melville Hall,Dominica,DOM
79,Memphis(TN),USA,MEM
80,Mendoza,Argentina,MDZ
81,Manado,Indonesia,MDC
82,Merced (CA),USA,MCE
83,Merida,Mexico,MID
84,Meridian (MS),USA,MEI
85,Merimbula,Australia,MIM
86,Messina,South Africa,MEZ
87,Metlakatla (AK),USA,MTM
88,Metz -  Frescaty,France,MZM
89,Metz/Nancy Metz-Nancy-Lorraine,France,ETZ
90,Mexicali,Mexico,MXL
91,Mexico City- Mexico City International Airport,Mexico,MEX
92,Mexico City- Atizapan,Mexico,AZP
93,Mexico City- Juarez International,Mexico,MEX
94,Mexico City- Santa Lucia,Mexico,NLU
95,Mfuwe,Zambia,MFU
96,Miami(FL),USA,MIA
97,Mianwali,Pakistan,MWD
98,Middlemount,Australia,MMM
99,Midland/Odessa (TX),USA,MAF
100,Midway Island - Sand Island Field,US Minor Outlying Islands,MDY
101,Mikkeli,Finland,MIK
102,Milan,Italy,MIL
103,Milan- Linate,Italy,LIN
104,Milan- Malpensa,Italy,MXP
105,Milan- Orio Al Serio,Italy,BGY
106,Mildura,Australia,MQL
107,Miles City (MT),USA,MLS
108,Milford Sound,New Zealand,MFN
109,Milwaukee(WI),USA,MKE
110,Minatitlan,Mexico,MTT
111,Mineralnye Vody,Russia,MRV
112,Minneapolis- St. Paul International Airport (MN),USA,MSP
113,Minot (ND),USA,MOT
114,"Minsk, International",Belarus,MSQ
115,Miri,Malaysia,MYY
116,Mirpur,Pakistan,QML
117,Missula (MT),USA,MSO
118,Mitchell (SD),USA,MHE
119,Miyako Jima (Ryuku Islands) - Hirara,Japan,MMY
120,Miyazaki,Japan,KMI
121,Mkambati,South Africa,MBM
122,Moanda,Gabon,MFF
123,Mobile (AL) - Pascagoula (MS),USA,MOB
124,Modesto (CA),USA,MOD
125,Moenjodaro,Pakistan,MJD
126,Mogadishu,Somalia,MGQ
127,Mokuti,Namibia,OKU
128,Moline/Quad Cities (IL),USA,MLI
129,Mombasa- Moi International,Kenya,MBA
130,Monastir,Tunisia,MIR
131,Moncton,Canada,YQM
132,Monroe (LA),USA,MLU
133,Monrovia- Metropolitan Area,Liberia,MLW
134,Monrovia- Roberts International,Liberia,ROB
135,Montego Bay - Sangster International,Jamaica,MBJ
136,Montenegro,Brazil,QGF
137,Monterey (CA),USA,MRY
138,Monterrey - Gen. Mariano Escobedo,Mexico,MTY
139,Monterrey - Aeropuerto Del Norte,Mexico,NTR
140,Montevideo- Carrasco International Airport,Uruguay,MVD
141,Montgomery(AL) - Montgomery Regional Airport,USA,MGM
142,Montpellier- Montpellier–Méditerranée Airport,France,MPL
143,Montreal,Canada,YMQ
144,Montreal- Dorval (Montréal-Trudeau),Canada,YUL
145,Montreal- Mirabel,Canada,YMX
146,Montrose/Tellruide (CO),USA,MTJ
147,Moorea,French Polynesia,MOZ
148,Moranbah,Australia,MOV
149,Moree,Australia,MRZ
150,Morelia,Mexico,MLM
151,Morgantown (WV),USA,MGW
152,"Morioka, Hanamaki",Japan,HNA
153,Moroni- Prince Said Ibrahim,Comoros(Comores),HAH
154,Moruya,Australia,MYA
155,Moscow- Metropolitan Area,Russia,MOW
156,Moscow- Domodedovo,Russia,DME
157,Moscow- Sheremetyevo,Russia,SVO
158,Moscow- Vnukovo,Russia,VKO
159,Moses Lake (WA),USA,MWH
160,Mossel Bay,South Africa,MZY
161,Mostar,Bosnia and Herzegovina,OMO
162,Mosul,Iraq,OSM
163,Mouila,Gabon,MJL
164,Moundou,Chad,MQQ
165,Mount Cook,New Zealand,GTN
166,Mount Gambier,Australia,MGB
167,Mount Magnet,Australia,MMG
168,Mt. Isa,Australia,ISA
169,Mt. McKinley (AK),USA,MCL
170,Muenchen(Munich) - Franz Josef Strauss,Germany,MUC
171,Muenster/Osnabrueck,Germany,FMO
172,Mulhouse,France,MLH
173,Multan,Pakistan,MUX
174,Murcia,Spain,MJV
175,Murmansk,Russia,MMK
176,Mus,Turkey,MSR
177,Muscat- Seeb,Oman,MCT
178,Muscle Shoals (AL),USA,MSL
179,Muskegon (MI),USA,MKG
180,Muzaffarabad,Pakistan,MFG
181,Mvengue,Gabon,MVB
182,Mykonos,Greece,JMK
183,Myrtle Beach (SC) - Myrtle Beach AFB,USA,MYR
184,Myrtle Beach (SC) - Grand Strand Airport,USA,CRE
185,Mysore,India,MYQ
186,Mytilene (Lesbos),Greece,MJT
187,Mzamba,South Africa,MZF
