,Airport,Country,IATA CODE
0,,,
1,N,,
2,Nadi,Fiji,NAN
3,Nagasaki,Japan,NGS
4,Nagoya - Komaki AFB,Japan,NGO
5,Nagpur,India,NAG
6,Nairobi,Kenya,NBO
7,Nakhichevan,Azerbaijan,NAJ
8,Nakhon Si Thammarat,Thailand,NST
9,Nancy,France,ENC
10,Nanisivik,Canada,YSR
11,Nanning,"Guangxi,PR China",NNG
12,Nantes- Nantes Atlantique Airport,France,NTE
13,Nantucket (MA),USA,ACK
14,Naples- Naples Capodichino Airport,Italy,NAP
15,Naples (FL),USA,APF
16,Narrabri,Australia,NAA
17,Narrandera,Australia,NRA
18,Narsarsuaq,Greenland,UAK
19,Nashville(TN),USA,BNA
20,Nassau,Bahamas,NAS
21,Natal- Augusto Severo International Airport,Brazil,NAT
22,Nausori,Fiji/Suva,SUV
23,Nawab Shah,Pakistan,WNS
24,Naxos - Naxos Airport,Greece,JNX
25,N'Djamena,Chad,NDJ
26,N'Dola,Zambia,NLA
27,Nelson,New Zealand,NSN
28,Nelspruit,South Africa,NLP
29,Nelspruit- Kruger Mpumalanga International Airport,South Africa,MQP
30,Nevis,St. Kitts and Nevis,NEV
31,New Bern (NC),USA,EWN
32,New Haven (CT),USA,HVN
33,"New Orleans, La",USA,MSY
34,Newquay,United Kingdom,NQY
35,New Valley - Kharga,Egypt,UVL
36,New York- John F. Kennedy (NY),USA,JFK
37,New York- LaGuardia (NY),USA,LGA
38,New York- Newark (NJ),USA,EWR
39,New York(NY),USA,NYC
40,Newburgh (NY),USA,SWF
41,Newcastle - Belmont,Australia,BEO
42,Newcastle - Williamtown,Australia,NTL
43,Newcastle,United Kingdom,NCL
44,Newcastle,South Africa,NCS
45,Newman,Australia,ZNE
46,Newport News/Williamsburg (VA),USA,PHF
47,N'Gaoundere,Cameroon,NGE
48,Niagara Falls International,USA,IAG
49,Niamey,Niger,NIM
50,Nice- Cote D'Azur Airport,France,NCE
51,Nicosia,Cyprus,NIC
52,Nikolaev,Ukraine,NLV
53,Niigata,Japan,KIJ
54,Nimes,France,FNI
55,Nis,Serbia,INI
56,Nizhny Novgorod- Strigino International Airport,Russia,GOJ
57,Nome (AK),USA,OME
58,Noosa,Australia,NSA
59,Norfolk Island,Australia,NLK
60,Norfolk/Virginia Beach (VA),USA,ORF
61,Norman Wells,Canada,YVQ
62,Norrkoeping,Sweden,NRK
63,North Bend (OR),USA,OTH
64,North Eleuthera,Bahamas,ELH
65,Norwich,United Kingdom,NWI
66,Nottingham - East Midlands,United Kingdom,EMA
67,Nouadhibou,Mauritania,NDB
68,Nouakchott,Mauritania,NKC
69,Noumea,New Caledonia,NOU
70,Novi Sad,Serbia,QND
71,Novosibirsk- Tolmachevo Airport,Russia,OVB
72,Nürnberg (Nuremberg),Germany,NUE
73,Nuevo Laredo,Mexico,NLD
74,Nuku'alofa- Fua'Amotu International,Tonga,TBU
