,Airport,Country,IATA CODE
0,,,
1,O,,
2,Oakland (CA),USA,OAK
3,Oaxaca - Xoxocotlan,Mexico,OAX
4,Odense,Denmark,ODE
5,Odessa,Ukraine,ODS
6,Oerebro,Sweden,ORB
7,Ohrid,Macedonia,OHD
8,Oita,Japan,OIT
9,Okayama,Japan,OKJ
10,"Okinawa, Ryukyo Island - Naha",Japan,OKA
11,Oklahoma City(OK) - Will Rogers World,USA,OKC
12,Olbia,Italy,OLB
13,Olympic Dam,Australia,OLP
14,Omaha (NE),USA,OMA
15,Ondangwa,Namibia,OND
16,Ontario (CA),USA,ONT
17,Oran (Ouahran),Algeria,ORN
18,Orange,Australia,OAG
19,Orange County (Santa Ana) (CA),USA,SNA
20,Oranjemund,Namibia,OMD
21,Oranjestad- Reina Beatrix International,Aruba,AUA
22,Orkney - Kirkwall,United Kingdom,KOI
23,OrlandoMetropolitan Area (FL),USA,ORL
24,Orlando- International Airport (FL),USA,MCO
25,Orpheus Island,Australia,ORS
26,"Osaka, Metropolitan Area",Japan,OSA
27,Osaka- Itami,Japan,ITM
28,Osaka- Kansai International Airport,Japan,KIX
29,Oshkosh (WI),USA,OSH
30,Osijek,Croatia(Hrvatska),OSI
31,"Oslo- Oslo Airport, Gardermoen",Norway,OSL
32,Oslo- Fornebu,Norway,FBU
33,Oslo- Sandefjord,Norway,TRF
34,Ottawa- Hull,Canada,YOW
35,Ouadda,Central African Republic,ODA
36,Ouarzazate,Morocco,OZZ
37,Oudtshoorn,South Africa,OUH
38,Ouagadougou,Burkina Faso,OUA
39,Oujda,Morocco,OUD
40,Oulu,Finland,OUL
41,Out Skerries (Shetland),United Kingdom,OUK
42,Oviedo,Spain,OVD
43,Owensboro (KY),USA,OWB
44,Oxnard (CA),USA,OXR
45,Oyem,Gabon/Loyautte,UVE
