,Airport,Country,IATA CODE
0,,,
1,P,,
2,Paderborn/Lippstadt,Germany,PAD
3,Paducah (KY),USA,PAH
4,Page/Lake Powell (AZ),USA,PGA
5,Pago Pago,American Samoa,PPG
6,Pakersburg (WV) /Marietta (OH),USA,PKB
7,Palermo - Punta Raisi,Italy,PMO
8,Palma de Mallorca,Spain,PMI
9,Palmas,Brazil,PMW
10,Palmdale/Lancaster (CA),USA,PMD
11,Palmerston North,New Zealand,PMR
12,Palm Springs (CA),USA,PSP
13,Panama City- Tocumen International,Panama,PTY
14,Panama City (FL),USA,PFN
15,Panjgur,Pakistan,PJG
16,Pantelleria,Italy,PNL
17,Papeete- Faaa,French Polynesia(Tahiti),PPT
18,Paphos,Cyprus,PFO
19,Paraburdoo,Australia,PBO
20,Paramaribo- Zanderij International,Suriname,PBM
21,Paris,France,PAR
22,Paris- Charles de Gaulle,France,CDG
23,Paris- Le Bourget,France,LBG
24,Paris- Orly,France,ORY
25,Paro,Bhutan,PBH
26,Pasco (WA),USA,PSC
27,Pasni,Pakistan,PSI
28,Patna,India,PAT
29,Pattaya,Thailand,PYX
30,Pau,France,PUF
31,Pellston (MI),USA,PLN
32,Penang International,Malaysia,PEN
33,Pendelton (OR),USA,PDT
34,Pensacola (FL),USA,PNS
35,Peoria/Bloomington (IL),USA,PIA
36,Pereira,Colombia,PEI
37,Perpignan,France,PGF
38,PerthInternational,Australia,PER
39,Perugia,Italy,PEG
40,Pescara,Italy,PSR
41,Peshawar,Pakistan,PEW
42,Petersburg (AK),USA,PSG
43,Phalaborwa,South Africa,PHW
44,Philadelphia(PA) - International,USA,PHL
45,Phnom Penh- Pochentong,Cambodia,PNH
46,Phoenix(AZ) - Sky Harbor International,USA,PHX
47,Phuket,Thailand,HKT
48,Pierre (SD),USA,PIR
49,Pietermaritzburg,South Africa,PZB
50,Pietersburg,South Africa,PTG
51,Pilanesberg/Sun City,South Africa,NTY
52,Pisa - Galileo Galilei,Italy,PSA
53,PittsburghInternational Airport (PA),USA,PIT
54,Plattsburgh (NY),USA,PLB
55,Plettenberg Bay,South Africa,PBZ
56,Pocatello (ID),USA,PIH
57,Podgorica,Montenegro,TGD
58,Pohnpei,Micronesia,PNI
59,Pointe a Pitre,Guadeloupe,PTP
60,Pointe Noire,Congo (ROC),PNR
61,Poitiers - Biard,France,PIS
62,Ponce,Puerto Rico,PSE
63,Ponta Delgada,Portugal,PDL
64,Pori,Finland,POR
65,Port Angeles (WA),USA,CLM
66,Port au Prince,Haiti,PAP
67,Port Augusta,Australia,PUG
68,Port Elizabeth,South Africa,PLZ
69,Port Gentil,Gabon,POG
70,Port Harcourt,Nigeria,PHC
71,Port Hedland,Australia,PHE
72,Portland,Australia,PTJ
73,Portland (ME),USA,PWM
74,PortlandInternational (OR),USA,PDX
75,Port Lincoln,Australia,PLO
76,Port Macquarie,Australia,PQQ
77,"Port Menier, PQ",Canada,YPN
78,Port Moresby- Jackson Field,Papua New Guinea,POM
79,Porto,Portugal,OPO
80,Porto Alegre- Salgado Filho International Airport,Brazil,POA
81,Port of Spain- Piarco International,Trinidad and Tobago,POS
82,Port Said,Egypt,PSD
83,Porto Santo,Portugal,PXO
84,Porto Velho,Brazil,PVH
85,Port Vila,Vanuatu,VLI
86,Poughkeepsie (NY),USA,POU
87,"Poznan, Lawica",Poland,POZ
88,Prague- Václav Havel Airport (formerly Ruzyne),Czech Republic,PRG
89,Praia- Nelson Mandela International Airport,Cape Verde,RAI
90,Presque Island (ME),USA,PQI
91,Pretoria- Wonderboom Apt.,South Africa,PRY
92,Preveza/Lefkas,Greece,PVK
93,Prince George,Canada,YXS
94,Prince Rupert/Digby Island,Canada,YPR
95,Pristina,Serbia,PRN
96,Prosperpine,Australia,PPP
97,Providence(RI),USA,PVD
98,Prudhoe Bay (AK),USA,SCC
99,Puebla,Mexico,PBC
100,Pueblo (CO),USA,PUB
101,Puerto Escondido,Mexico,PXM
102,Puerto Ordaz,Venezuela,PZO
103,Puerto Plata,Dominican Republic,POP
104,Puerto Vallarta,Mexico,PVR
105,Pukatawagan,Canada,XPK
106,Pula,Croatia(Hrvatska),PUY
107,Pullman (WA),USA,PUW
108,Pune,"India,Maharashtra",PNQ
109,Punta Arenas - Presidente Carlos Ibáñez del Campo,Chile,PUQ
110,Punta Cana - Punta Cana International,Dominican Republic,PUJ
111,Pu San(Busan) - Gimhae International Airport,South Korea,PUS
112,Pyongyang- Sunan International Airport,North Korea,FNJ
