,Airport,Country,IATA CODE
0,,,
1,R,,
2,Rabat- Rabat-Salé Airport,Morocco,RBA
3,Rahim Yar Khan - Shaikh Zayed International Airport,Pakistan,RYK
4,Raiatea,French Polynesia,RFP
5,"Rainbow Lake, AB",Canada,YOP
6,Rajkot,India,RAJ
7,Raleigh/Durham (NC),USA,RDU
8,Ranchi,India,IXR
9,Rangiroa,French Polynesia,RGI
10,Rangoon(Yangon) - Mingaladon,Myanmar,RGN
11,Rapid City (SD),USA,RAP
12,Rarotonga,Cook Island,RAR
13,Ras al Khaymah (Ras al Khaimah),United Arab Emirates,RKT
14,Rawala Kot,Pakistan,RAZ
15,Rawalpindi,Pakistan,RWP
16,Reading (PA),USA,RDG
17,Recife- Guararapes-Gilberto Freyre International,Brazil,REC
18,Redding (CA),USA,RDD
19,Redmond (OR),USA,RDM
20,Reggio Calabria,Italy,REG
21,Regina,Canada,YQR
22,Reina Sofia,Teneriffa/Spain,TFS
23,Rennes,France,RNS
24,Reno (NV),USA,RNO
25,Resolute Bay,Canada,YRB
26,Reus,Spain,REU
27,Reykjavik- Metropolitan Area,Iceland,REK
28,Reykjavik- Keflavik International,Iceland,KEF
29,Rhinelander (WI),USA,RHI
30,Rhodos,Greece,RHO
31,Richards Bay,South Africa,RCB
32,Richmond(VA),USA,RIC
33,Riga,Latvia,RIX
34,Rijeka,Croatia(Hrvatska),RJK
35,Rimini,Italy,RMI
36,Rio Branco- Plácido de Castro International Airport,Brazil,RBR
37,Rio de Janeiro- Galeao,Brazil,GIG
38,Rio de Janeiro- Santos Dumont,Brazil,SDU
39,Rio de Janeiro,Brazil,RIO
40,Riyadh- King Khaled International,Saudi Arabia,RUH
41,Roanne,France,RNE
42,Roanoke (VA),USA,ROA
43,Roatan,Honduras,RTB
44,Rochester (MN),USA,RST
45,Rochester (NY),USA,ROC
46,Rock Sound,Bahamas,RSD
47,Rock Springs (WY),USA,RKS
48,Rockford (IL),USA,RFD
49,Rockhampton,Australia,ROK
50,Rockland (ME),USA,RKD
51,Rocky Mount - Wilson (NC),USA,RWI
52,Rodez,France,RDZ
53,Rodrigues Island,Mauritius,RRG
54,Roenne,Denmark,RNN
55,Rome,Italy,ROM
56,Rome- Ciampino,Italy,CIA
57,Rome- Fuimicino,Italy,FCO
58,Ronneby,Sweden,RNB
59,Rosario,Argentina,ROS
60,Rostov-on-Don- Rostov-on-Don Airport,Russia,RVI
61,Rostov-on-Don- Platov International Airport,Russia,ROV
62,Rotorua,New Zealand,ROT
63,Rotterdam,Netherlands,RTM
64,Rovaniemi,Finland,RVN
65,Rundu,Namibia,NDU
66,Ruse,Bulgaria,ROU
