,Airport,Country,IATA CODE
0,,,
1,S,,
2,Saarbruecken,Germany,SCN
3,Sacramento(CA),USA,SMF
4,Sado Shima,Japan,SDS
5,Saginaw/Bay City/Midland (MI),USA,MBS
6,Saidu Sharif,Pakistan,SDT
7,Saigon(Ho Chi Minh City) - Tan Son Nhat International,Viet Nam,SGN
8,Saint Brieuc,France,SBK
9,Saint Denis- Roland Garros Airport,Reunion,RUN
10,Saint John,Canada,YSJ
11,Saipan,Northern Mariana Islands,SPN
12,Sal,Cape Verde,SID
13,Salalah,Oman,SLL
14,Salem(OR),USA,SLE
15,Salinas (CA),USA,SNS
16,Salinas,Ecuador,SNC
17,Salisbury,Zimbabwe,SAY
18,Salisbury (MD),USA,SBY
19,Saloniki,Greece,SKG
20,"Salta, Gen Belgrano",Argentina,SLA
21,Salt Lake City(UT),USA,SLC
22,Salvador- Salvador International Airport,Brazil,SSA
23,Salzburg - W.A. Mozart,Austria,SZG
24,Samara- Kurumoch International Airport,Russia,KUF
25,Samarkand- Samarkand International Airport,Uzbekistan,SKD
26,Samos,Greece,SMI
27,Samsun,Turkey,SZF
28,San Andres,Colombia,ADZ
29,San Angelo (TX),USA,SJT
30,San Antonio(TX),USA,SAT
31,San Carlos de Bariloche,Argentina,BRC
32,San Diego- Lindberg Field International (CA),USA,SAN
33,"San Francisco- International Airport, SA",USA,SFO
34,San Jose Cabo,Mexico,SJD
35,San Jose,Costa Rica,SJO
36,San Jose(CA),USA,SJC
37,San Juan- Luis Munoz Marin International Airport,Puerto Rico,SJU
38,San Luis Obisco (CA),USA,SBP
39,San Luis Potosi,Mexico,SLP
40,San Pedro,Cote d'Ivoire,SPY
41,San Pedro Sula,Honduras,SAP
42,San Salvador,Bahamas,ZSA
43,San Salvador,El Salvador,SAL
44,San Sebastian,Spain,EAS
45,Sanaa(Sana'a) - Sana'a International,Yemen,SAH
46,Sandspit,Canada,YZP
47,Santa Ana - John Wayne Airport (CA),USA,SNA
48,Santa Barbara (CA),USA,SBA
49,Santa Cruz de la Palma,Spain,SPC
50,Santa Cruz de la Sierra,Bolivia,SRZ
51,Santa Katarina - Mount Sinai,Egypt,SKV
52,Santa Maria,Portugal,SMA
53,Santa Maria (CA),USA,SMX
54,Santander,Spain,SDR
55,Santa Rosa (CA),USA,STS
56,Santa Rosa,Bolivia,SRB
57,Santa Rosa,Brazil,SRA
58,Santa Rosa,Argentina,RSA
59,"Santa Rosa, Copan",Honduras,SDH
60,Santa Rosalia,Colombia,SSL
61,Santa Rosalia,Mexico,SRL
62,Santiago - Antonio Maceo Airport,Cuba,SCU
63,Santiago de Chile- Arturo Merino Benitez,Chile,SCL
64,Santiago de Compostela,Spain,SCQ
65,Santo,Vanuatu,SON
66,Santo Domingo,Dominican Republic,SDQ
67,Sao Luis- Marechal Cunha Machado International,Brazil,SLZ
68,Sao Paulo,Brazil,SAO
69,Sao Paulo- Congonhas,Brazil,CGH
70,Sao Paulo- Guarulhos,Brazil,GRU
71,Sao Paulo- Viracopos,Brazil,VCP
72,Sao Tome,Sao Tome & Principe,TMS
73,Sapporo,"Hokkaido, Japan",SPK
74,Sapporo - Okadama,"Hokkaido, Japan",OKD
75,Sapporo- New Chitose Airport,Japan,CTS
76,Sarajevo,Bosnia and Herzegovina,SJJ
77,Saransk- Saransk Airport,Russia,SKX
78,Sarasota/Bradenton (FL),USA,SRQ
79,Saskatoon,Canada,YXE
80,Sassandra,Cote d'Ivoire,ZSS
81,Savannah (GA),USA,SAV
82,Savonlinna,Finland,SVL
83,Scarborough - Crown Point International,Trinidad and Tobago,TAB
84,Scone,Australia,NSO
85,Scottsdale (AZ),USA,SCF
86,Seattle/Tacoma (WA),USA,SEA
87,Sehba,Libya,SEB
88,Seinaejoki,Finland,SJY
89,Selibi Phikwe,Botswana,PKW
90,Sendai,Japan,SDJ
91,Seoul- Incheon International Airport,South Korea,ICN
92,Seoul- Kimpo,South Korea,SEL
93,Sevilla,Spain,SVQ
94,Sfax,Tunisia,SFA
95,"Shamattawa, MB",Canada,ZTM
96,Shanghai- Hongqiao,China,SHA
97,Shanghai- Pu Dong,China,PVG
