,Airport,Country,IATA CODE
0,,,
1,T,,
2,Tabuk,Saudi Arabia,TUU
3,Taif,Saudi Arabia,TIF
4,Taipei- Chiang Kai Shek,Taiwan,TPE
5,Taipei- Sung Shan,Taiwan,TAY
6,Taiyuan,"Shanxi,PR China",TYN
7,Takamatsu,Japan,TAK
8,Talkeetna (AK),USA,TKA
9,Tallahassee(FL),USA,TLH
10,Tallinn- Pirita Harbour,Estonia,QUF
11,Tallinn- Ulemiste,Estonia,TLL
12,Tampa- International (FL),USA,TPA
13,Tampere,Finland,TMP
14,Tampico - Gen. F. Javier Mina,Mexico,TAM
15,Tamworth,Australia,TMW
16,Tangier- Boukhalef,Morocco,TNG
17,Taree,Australia,TRO
18,Targovishte,Bulgaria,TGV
19,Tashkent- International,Uzbekistan,TAS
20,Tawau,Malaysia,TWU
21,Tbilisi- Novo Alexeyevka,Georgia,TBS
22,Te Anau,New Zealand,TEU
23,"Teesside, Durham Tees Valley",United Kingdom,MME
24,Tegucigalpa,Honduras,TGU
25,Tehran(Teheran) - Mehrabad,Iran,THR
26,Tekirdag - Corlu,Turkey,TEQ
27,Tel Aviv- Ben Gurion International,Israel,TLV
28,Telluride (CO),USA,TEX
29,Temora,Australia,TEM
30,Tenerife,Spain,TCI
31,Tenerife - Sur Reina Sofia,Spain,TFS
32,Tenerife - Norte Los Rodeos,Spain,TFN
33,Tennant Creek,Australia,TCA
34,Terceira,Portugal,TER
35,Teresina,Brazil,THE
36,Termez (Termes),Uzbekistan,TMZ
37,Terrace,Canada,YXT
38,Terre Haute (IN),USA,HUF
39,Texarkana (AR),USA,TXK
40,Thaba'Nchu,South Africa,TCU
41,The Pas,Canada,YQD
42,Thessaloniki - Makedonia Apt.,Greece,SKG
43,Thief River Falls (MN),USA,TVF
44,Thira,Greece,JTR
45,Thiruvananthapuram,India,TRV
46,Thisted,Denmark,TED
47,Thompson,Canada,YTH
48,Thorne Bay (AK),USA,KTB
49,Thunder Bay,Canada,YQT
50,Thursday Island,Australia,TIS
51,Tianjin,China,TSN
52,Tijuana - Rodriguez,Mexico,TIJ
53,Tioman,Indonesia,TOD
54,Tirana- Rinas,Albania,TIA
55,Tiruchirapally,India,TRZ
56,Tivat,Montenegro,TIV
57,Tobago,Trinidad and Tobago,TAB
58,Tokushima,Japan,TKS
59,Tokyo,Japan,TYO
60,Tokyo- Haneda,Japan,HND
61,Tokyo- Narita,Japan,NRT
62,Toledo (OH),USA,TOL
63,Tom Price,Australia,TPR
64,Toowoomba,Australia,TWB
65,Toronto- Billy Bishop Toronto City Airport,Canada,YTZ
66,Toronto- Toronto Pearson International Airport,Canada,YYZ
67,Toronto,Canada,YTO
68,Tortola,British Virgin Islands,TOV
69,Touho,New Caledonia,TOU
70,Toulouse- Blagnac Airport,France,TLS
71,Townsville,Australia,TSV
72,Toyama,Japan,TOY
73,Trabzon,Turkey,TZX
74,Trapani,Italy,TPS
75,Traverse City (MI),USA,TVC
76,Treasure Cay,Bahamas,TCB
77,Trenton/Princeton (NJ),USA,TTN
78,Treviso,Italy,TSF
79,Tri-Cities Regional (TN) /VA,USA,TRI
80,Trieste,Italy,TRS
81,Tripoli- Tripoli International,Libya,TIP
82,Tromsoe,Norway,TOS
83,Trondheim,Norway,TRD
84,Tsumeb,Namibia,TSB
85,Tucson(AZ),USA,TUS
86,Tulepo (MS),USA,TUP
87,Tulsa (OK),USA,TUL
88,Tunis- Carthage,Tunisia,TUN
89,Turbat,Pakistan,TUK
90,Turin,Italy,TRN
91,Turku,Finland,TKU
92,Tuscaloosa (AL),USA,TCL
93,Tuxtla Gutierrez,Mexico,TGZ
94,Twin Falls (ID),USA,TWF
95,Tyler (TX),USA,TYR
