,Airport,Country,IATA CODE
0,,,
1,U,,
2,Ua Huka,French Polynesia,UAH
3,Ua Pou,French Polynesia,UAP
4,Ube,Japan,UBJ
5,Uberaba,Brazil,UBA
6,Uberlandia - Eduardo Gomes Airport,Brazil,UDI
7,Ubon Ratchathani - Muang Ubon Airport,Thailand,UBP
8,Udaipur - Dabok Airport,India,UDR
9,Uden - Volkel Airport,Netherlands,UDE
10,Udon Thani,Thailand,UTH
11,Ufa,Russia,UFA
12,Uherske Hradiste,Czech Republic,UHE
13,Uige,Angola,UGO
14,Ujung Pandang - Hasanudin Airport,Indonesia,UPG
15,Ukhta,Russia,UCT
16,Ukiah (CA),USA,UKI
17,Ulaanbaatar- Buyant Uhaa Airport,Mongolia,ULN
18,Ulan-Ude,Russia,UUD
19,Ulanhot,PR China,HLH
20,Ulei,Vanuatu,ULB
21,Ulsan,South Korea,USN
22,Ulundi,South Africa,ULD
23,Umea,Sweden,UME
24,Umiujaq,Canada,YUD
25,Umtata,South Africa,UTT
26,Unalakleet (AK),USA,UNK
27,Union Island,Saint Vincent and the Grenadines,UNI
28,Unst (Shetland Island) - Baltasound Airport,United Kingdom,UNT
29,Upala,Costa Rica,UPL
30,Upernavik - Upernavik Heliport,Greenland,JUV
31,Upington,South Africa,UTN
32,Upolu Point (HI),USA,UPP
33,Uranium City,Canada,YBE
34,Urgench,Uzbekistan,UGC
35,Uriman,Venezuela,URM
36,Urmiehm (Orumieh),Iran,OMH
37,Uruapan,Mexico,UPN
38,Urubupunga - Ernesto Pochler Airport,Brazil,URB
39,Uruguaiana - Ruben Berta Airport,Brazil,URG
40,Urumqi,"Xinjiang,PR China",URC
41,Uruzgan,Afghanistan,URZ
42,Ushuaia - Islas Malvinas Airport,Argentina,USH
43,Utapao (Pattaya),Thailand,UTP
44,Utica (NY) - Oneida County Airport,USA,UCA
45,Utila,Honduras,UII
46,Uummannaq,Greenland,UMD
47,Uzhgorod,Ukraine,UDJ
