,Airport,Country,IATA CODE
0,,,
1,V,,
2,Vaasa,Finland,VAA
3,Vaexjoe,Sweden,VXO
4,Vail (CO),USA,EGE
5,Val d'Or,Canada,YVO
6,Valdez (AK),USA,VDZ
7,Valdosta (GA),USA,VLD
8,Valencia,Spain,VLC
9,Valencia,Venezuela,VLN
10,Valladolid,Spain,VLL
11,Valparaiso,Chile,VAP
12,Valverde,Spain,VDE
13,Van - Ferit Melen,Turkey,VAN
14,Vancouver- Vancouver International,Canada,YVR
15,Varadero,Cuba,VRA
16,Varanasi,India,VNS
17,Varkaus,Finland,VRK
18,Varna,Bulgaria,VAR
19,Vasteras,Sweden,VST
20,Velikiye Luki (Welikije Luki),Russia,VLU
21,Venice- Marco Polo,Italy,VCE
22,Veracruz,Mexico,VER
23,Vernal (UT),USA,VEL
24,Vero Beach/Ft. Pierce (FL),USA,VRB
25,Verona (Brescia) Montichiari,Italy,VBS
26,Verona,Italy,VRN
27,Victoria,Canada,YYJ
28,Victoria Falls,Zimbabwe,VFA
29,Vidin,Bulgaria,VID
30,Vientiane- Wattay,Lao PDR,VTE
31,Vigo,Spain,VGO
32,Villahermosa,Mexico,VSA
33,Vilnius,Lithuania,VNO
34,Virgin Gorda,Virgin Islands (British),VIJ
35,Visalia (CA),USA,VIS
36,Visby,Sweden,VBY
37,Vitoria,Spain,VIT
38,Vitoria- Eurico de Aguiar Salles Airport,Brazil,VIX
39,Vryheid,South Africa,VYD
