,Airport,Country,IATA CODE
0,,,
1,W,,
2,Wabush,Canada,YWK
3,Waco (TX),USA,ACT
4,Wagga,Australia,WGA
5,Walla Walla (WA),USA,ALW
6,Wallis,Wallis and Futuna Islands,WLS
7,Walvis Bay,South Africa,WVB
8,Warrnambool,Australia,WMB
9,Warsaw- Frédéric Chopin,Poland,WAW
10,Washington DC- Baltimore Washington International,USA,BWI
11,Washington DC - Dulles International,USA,IAD
12,Washington DC - Ronald Reagan National,USA,DCA
13,Washington DC,USA,WAS
14,Waterloo IA,USA,ALO
15,Watertown (SD),USA,ATY
16,Wausau/Stevens Point (WI),USA,CWA
17,Weipa,Australia,WEI
18,Welkom,South Africa,WEL
19,Wellington,New Zealand,WLG
20,Wenatchee (WA),USA,EAT
21,West Palm Beach (FL),USA,PBI
22,West Yellowstone (MT),USA,WYS
23,"Westerland, Sylt Airport",Germany,GWT
24,Whakatane,New Zealand,WHK
25,"Whale Cove, NT",Canada,YXN
26,Whangarei,New Zealand,WRE
27,White Plains (NY),USA,HPN
28,Whitehorse,Canada,YXY
29,Whitsunday Resort,Australia,HAP
30,Whyalla,Australia,WYA
31,Wichita Falls (TX),USA,SPS
32,Wichita (KS),USA,ICT
33,Wick,United Kingdom,WIC
34,Wickham,Australia,WHM
35,Wien(Vienna) - Vienna International,Austria,VIE
36,"Wiesbaden, Air Base",Germany,WIE
37,Wilkes Barre/Scranton (PA),USA,AVP
38,Williamsport (PA),USA,IPT
39,Williston (ND),USA,ISL
40,Wilmington (NC),USA,ILM
41,Wilna(Vilnius),Lithuania,VNO
42,Wiluna,Australia,WUN
43,Windhoek- Eros,Namibia,ERS
44,Windhoek - Hosea Kutako International,Namibia,WDH
45,Windsor Ontario,Canada,YQG
46,Winnipeg International,Canada,YWG
47,Wolf Point (MT),USA,OLF
48,Wollongong,Australia,WOL
49,Woomera,Australia,UMR
50,Worcester (MA),USA,ORH
51,Worland (WY),USA,WRL
52,Wrangell (AK),USA,WRG
53,Wuhan,"Hubei,PR China",WUH
54,Wyndham,Australia,WYN
