,Airport,Country,IATA CODE
0,,,
1,XYZ,,
2,Xiamen,"Fujian,PR China",XMN
3,Xi'an - Xianyang,"Shaanxi,PR China",XIY
4,Yakima (WA),USA,YKM
5,Yakutat (AK),USA,YAK
6,Yakutsk,Russia,YKS
7,"Yamagata, Junmachi",Japan,GAJ
8,Yamoussoukro,Côte d'Ivoire,ASK
9,Yanbu,Saudi Arabia,YNB
10,Yangon (Rangoon)- Mingaladon,Myanmar,RGN
11,Yaounde,Cameroon,YAO
12,Yellowknife,Canada,YZF
13,Yekaterinburg- Koltsovo Airport,Russia,SVX
14,Yichang,"Hubei,PR China",YIH
15,Yokohama,Japan,YOK
16,Yuma (AZ),USA,YUM
17,Zacatecas,Mexico,ZCL
18,Zadar,Croatia(Hrvatska),ZAD
19,Zagreb- Zagreb Airport Pleso,Croatia(Hrvatska),ZAG
20,Zakynthos,Greece,ZTH
21,Zaragoza,Spain,ZAZ
22,Zhob,Pakistan,PZH
23,Zinder,Niger,ZND
24,Zouerate,Mauritania,OUZ
25,Zurich(Zürich) - Kloten,Switzerland,ZRH
